BARRIOS,ANIO,NRO_TERRAZAS,PORCENTAJE_EVOLUCION
ABRANTES,2016,3,0.0
ABRANTES,2018,22,633.33
ABRANTES,2019,23,4.55
ACACIAS,2016,62,0.0
ACACIAS,2018,78,25.81
ACACIAS,2019,74,-5.13
ADELFAS,2016,12,0.0
ADELFAS,2018,17,41.67
ADELFAS,2019,18,5.88
AEROPUERTO,2016,2,0.0
AEROPUERTO,2018,4,100.0
AEROPUERTO,2019,4,0.0
ALAMEDA DE OSUNA,2016,1,0.0
ALAMEDA DE OSUNA,2018,21,2000.0
ALAMEDA DE OSUNA,2019,21,0.0
ALMAGRO,2016,55,0.0
ALMAGRO,2018,64,16.36
ALMAGRO,2019,66,3.12
ALMENARA,2016,4,0.0
ALMENARA,2018,18,350.0
ALMENARA,2019,19,5.56
ALMENDRALES,2016,10,0.0
ALMENDRALES,2018,12,20.0
ALMENDRALES,2019,12,0.0
ALUCHE,2016,28,0.0
ALUCHE,2018,89,217.86
ALUCHE,2019,91,2.25
AMPOSTA,2016,14,0.0
AMPOSTA,2018,17,21.43
AMPOSTA,2019,17,0.0
ARAPILES,2016,65,0.0
ARAPILES,2018,74,13.85
ARAPILES,2019,74,0.0
ARAVACA,2016,7,0.0
ARAVACA,2018,19,171.43
ARAVACA,2019,18,-5.26
ARCOS,2016,22,0.0
ARCOS,2018,25,13.64
ARCOS,2019,27,8.0
ARGÜELLES,2016,32,0.0
ARGÜELLES,2018,68,112.5
ARGÜELLES,2019,76,11.76
ATOCHA,2016,5,0.0
ATOCHA,2018,6,20.0
ATOCHA,2019,6,0.0
BELLAS VISTAS,2016,4,0.0
BELLAS VISTAS,2018,19,375.0
BELLAS VISTAS,2019,19,0.0
BERRUGUETE,2016,3,0.0
BERRUGUETE,2018,21,600.0
BERRUGUETE,2019,22,4.76
BUENAVISTA,2016,20,0.0
BUENAVISTA,2018,51,155.0
BUENAVISTA,2019,52,1.96
BUTARQUE,2016,15,0.0
BUTARQUE,2018,19,26.67
BUTARQUE,2019,21,10.53
CAMPAMENTO,2016,4,0.0
CAMPAMENTO,2018,6,50.0
CAMPAMENTO,2019,6,0.0
CANILLAS,2018,47,0.0
CANILLAS,2019,47,0.0
CANILLEJAS,2016,35,0.0
CANILLEJAS,2018,37,5.71
CANILLEJAS,2019,38,2.7
CASA DE CAMPO,2016,14,0.0
CASA DE CAMPO,2018,28,100.0
CASA DE CAMPO,2019,28,0.0
CASCO HISTÓRICO DE BARAJAS,2016,1,0.0
CASCO HISTÓRICO DE BARAJAS,2018,23,2200.0
CASCO HISTÓRICO DE BARAJAS,2019,23,0.0
CASCO HISTÓRICO DE VALLECAS,2016,69,0.0
CASCO HISTÓRICO DE VALLECAS,2018,47,-31.88
CASCO HISTÓRICO DE VALLECAS,2019,48,2.13
CASCO HISTÓRICO DE VICÁLVARO,2016,8,0.0
CASCO HISTÓRICO DE VICÁLVARO,2018,49,512.5
CASCO HISTÓRICO DE VICÁLVARO,2019,39,-20.41
CASTELLANA,2016,71,0.0
CASTELLANA,2018,66,-7.04
CASTELLANA,2019,67,1.52
CASTILLA,2016,22,0.0
CASTILLA,2018,35,59.09
CASTILLA,2019,37,5.71
CASTILLEJOS,2016,7,0.0
CASTILLEJOS,2018,62,785.71
CASTILLEJOS,2019,60,-3.23
CHOPERA,2016,25,0.0
CHOPERA,2018,31,24.0
CHOPERA,2019,34,9.68
CIUDAD JARDÍN,2016,20,0.0
CIUDAD JARDÍN,2018,29,45.0
CIUDAD JARDÍN,2019,31,6.9
CIUDAD UNIVERSITARIA,2016,4,0.0
CIUDAD UNIVERSITARIA,2018,16,300.0
CIUDAD UNIVERSITARIA,2019,17,6.25
COLINA,2016,5,0.0
COLINA,2018,5,0.0
COLINA,2019,5,0.0
COMILLAS,2016,9,0.0
COMILLAS,2018,29,222.22
COMILLAS,2019,33,13.79
CONCEPCIÓN,2016,47,0.0
CONCEPCIÓN,2018,47,0.0
CONCEPCIÓN,2019,52,10.64
CORRALEJOS,2016,3,0.0
CORRALEJOS,2018,12,300.0
CORRALEJOS,2019,11,-8.33
CORTES,2016,58,0.0
CORTES,2018,63,8.62
CORTES,2019,62,-1.59
COSTILLARES,2016,15,0.0
COSTILLARES,2018,16,6.67
COSTILLARES,2019,16,0.0
CUATRO CAMINOS,2016,9,0.0
CUATRO CAMINOS,2018,72,700.0
CUATRO CAMINOS,2019,75,4.17
CUATRO VIENTOS,2016,1,0.0
CUATRO VIENTOS,2018,2,100.0
CUATRO VIENTOS,2019,2,0.0
DELICIAS,2016,33,0.0
DELICIAS,2018,44,33.33
DELICIAS,2019,42,-4.55
EL GOLOSO,2016,22,0.0
EL GOLOSO,2018,29,31.82
EL GOLOSO,2019,35,20.69
EL PARDO,2016,7,0.0
EL PARDO,2018,8,14.29
EL PARDO,2019,8,0.0
EL VISO,2016,36,0.0
EL VISO,2018,57,58.33
EL VISO,2019,59,3.51
EMBAJADORES,2016,100,0.0
EMBAJADORES,2018,103,3.0
EMBAJADORES,2019,109,5.83
ENSANCHE DE VALLECAS,2018,41,0.0
ENSANCHE DE VALLECAS,2019,46,12.2
ENTREVÍAS,2016,46,0.0
ENTREVÍAS,2018,55,19.57
ENTREVÍAS,2019,50,-9.09
ESTRELLA,2016,7,0.0
ESTRELLA,2018,16,128.57
ESTRELLA,2019,17,6.25
FONTARRÓN,2016,17,0.0
FONTARRÓN,2018,17,0.0
FONTARRÓN,2019,16,-5.88
FUENTE DEL BERRO,2016,26,0.0
FUENTE DEL BERRO,2018,16,-38.46
FUENTE DEL BERRO,2019,20,25.0
GAZTAMBIDE,2016,47,0.0
GAZTAMBIDE,2018,57,21.28
GAZTAMBIDE,2019,59,3.51
GOYA,2016,72,0.0
GOYA,2018,55,-23.61
GOYA,2019,65,18.18
GUINDALERA,2016,47,0.0
GUINDALERA,2018,40,-14.89
GUINDALERA,2019,48,20.0
HELLÍN,2016,4,0.0
HELLÍN,2018,5,25.0
HELLÍN,2019,5,0.0
HISPANOAMÉRICA,2016,46,0.0
HISPANOAMÉRICA,2018,110,139.13
HISPANOAMÉRICA,2019,117,6.36
HORCAJO,2016,7,0.0
HORCAJO,2018,8,14.29
HORCAJO,2019,8,0.0
IBIZA,2016,56,0.0
IBIZA,2018,81,44.64
IBIZA,2019,86,6.17
IMPERIAL,2016,48,0.0
IMPERIAL,2018,52,8.33
IMPERIAL,2019,51,-1.92
JERÓNIMOS,2016,22,0.0
JERÓNIMOS,2018,37,68.18
JERÓNIMOS,2019,35,-5.41
JUSTICIA,2016,66,0.0
JUSTICIA,2018,67,1.52
JUSTICIA,2019,69,2.99
LA PAZ,2016,13,0.0
LA PAZ,2018,16,23.08
LA PAZ,2019,16,0.0
LAS ÁGUILAS,2016,31,0.0
LAS ÁGUILAS,2018,63,103.23
LAS ÁGUILAS,2019,64,1.59
LEGAZPI,2016,24,0.0
LEGAZPI,2018,34,41.67
LEGAZPI,2019,41,20.59
LISTA,2016,67,0.0
LISTA,2018,50,-25.37
LISTA,2019,55,10.0
LOS CÁRMENES,2016,5,0.0
LOS CÁRMENES,2018,10,100.0
LOS CÁRMENES,2019,11,10.0
LOS ROSALES,2016,27,0.0
LOS ROSALES,2018,30,11.11
LOS ROSALES,2019,31,3.33
LOS ÁNGELES,2016,43,0.0
LOS ÁNGELES,2018,41,-4.65
LOS ÁNGELES,2019,42,2.44
LUCERO,2016,14,0.0
LUCERO,2018,28,100.0
LUCERO,2019,31,10.71
MARROQUINA,2016,55,0.0
MARROQUINA,2018,55,0.0
MARROQUINA,2019,55,0.0
MEDIA LEGUA,2016,15,0.0
MEDIA LEGUA,2018,17,13.33
MEDIA LEGUA,2019,17,0.0
MIRASIERRA,2016,13,0.0
MIRASIERRA,2018,20,53.85
MIRASIERRA,2019,24,20.0
MOSCARDÓ,2016,27,0.0
MOSCARDÓ,2018,30,11.11
MOSCARDÓ,2019,30,0.0
NIÑO JESÚS,2016,23,0.0
NUEVA ESPAÑA,2016,38,0.0
NUMANCIA,2016,29,0.0
NUMANCIA,2018,36,24.14
NUMANCIA,2019,35,-2.78
OPAÑEL,2016,11,0.0
ORCASITAS,2016,18,0.0
ORCASITAS,2018,25,38.89
ORCASITAS,2019,25,0.0
ORCASUR,2016,10,0.0
ORCASUR,2018,15,50.0
ORCASUR,2019,15,0.0
PACÍFICO,2016,57,0.0
PACÍFICO,2018,65,14.04
PACÍFICO,2019,68,4.62
PALACIO,2016,146,0.0
PALACIO,2018,158,8.22
PALACIO,2019,159,0.63
PALOMAS,2018,9,0.0
PALOMAS,2019,11,22.22
PALOMERAS BAJAS,2016,41,0.0
PALOMERAS BAJAS,2018,48,17.07
PALOMERAS BAJAS,2019,49,2.08
PALOMERAS SURESTE,2016,39,0.0
PALOMERAS SURESTE,2018,56,43.59
PALOMERAS SURESTE,2019,57,1.79
PALOS DE MOGUER,2016,58,0.0
PALOS DE MOGUER,2018,71,22.41
PALOS DE MOGUER,2019,71,0.0
PAVONES,2016,14,0.0
PAVONES,2018,13,-7.14
PAVONES,2019,13,0.0
PEÑAGRANDE,2016,33,0.0
PILAR,2016,64,0.0
PILAR,2018,78,21.88
PILAR,2019,74,-5.13
PINAR DEL REY,2018,50,0.0
PINAR DEL REY,2019,51,2.0
PIOVERA,2018,17,0.0
PIOVERA,2019,17,0.0
PORTAZGO,2016,45,0.0
PORTAZGO,2018,54,20.0
PORTAZGO,2019,48,-11.11
PRADOLONGO,2016,6,0.0
PRADOLONGO,2018,8,33.33
PRADOLONGO,2019,8,0.0
PROSPERIDAD,2016,46,0.0
PROSPERIDAD,2018,67,45.65
PROSPERIDAD,2019,70,4.48
PUEBLO NUEVO,2016,48,0.0
PUEBLO NUEVO,2018,53,10.42
PUEBLO NUEVO,2019,56,5.66
PUERTA BONITA,2016,4,0.0
PUERTA BONITA,2018,16,300.0
PUERTA BONITA,2019,17,6.25
PUERTA DEL ÁNGEL,2016,18,0.0
PUERTA DEL ÁNGEL,2018,40,122.22
PUERTA DEL ÁNGEL,2019,45,12.5
QUINTANA,2016,32,0.0
QUINTANA,2018,37,15.62
QUINTANA,2019,39,5.41
RECOLETOS,2016,66,0.0
RECOLETOS,2018,57,-13.64
RECOLETOS,2019,66,15.79
REJAS,2016,3,0.0
REJAS,2018,4,33.33
REJAS,2019,4,0.0
ROSAS,2016,50,0.0
ROSAS,2018,59,18.0
ROSAS,2019,67,13.56
RÍOS ROSAS,2016,65,0.0
RÍOS ROSAS,2018,77,18.46
RÍOS ROSAS,2019,86,11.69
SALVADOR,2016,13,0.0
SALVADOR,2018,15,15.38
SALVADOR,2019,18,20.0
SAN CRISTÓBAL,2016,18,0.0
SAN CRISTÓBAL,2018,22,22.22
SAN CRISTÓBAL,2019,25,13.64
SAN DIEGO,2016,25,0.0
SAN DIEGO,2018,33,32.0
SAN DIEGO,2019,32,-3.03
SAN FERMÍN,2016,14,0.0
SAN FERMÍN,2018,15,7.14
SAN FERMÍN,2019,15,0.0
SAN ISIDRO,2016,3,0.0
SAN ISIDRO,2018,23,666.67
SAN ISIDRO,2019,23,0.0
SAN JUAN BAUTISTA,2016,8,0.0
SAN JUAN BAUTISTA,2018,9,12.5
SAN JUAN BAUTISTA,2019,10,11.11
SAN PASCUAL,2016,7,0.0
SAN PASCUAL,2018,8,14.29
SAN PASCUAL,2019,9,12.5
SANTA EUGENIA,2016,24,0.0
SANTA EUGENIA,2018,28,16.67
SANTA EUGENIA,2019,30,7.14
SIMANCAS,2016,46,0.0
SIMANCAS,2018,58,26.09
SIMANCAS,2019,61,5.17
SOL,2016,164,0.0
SOL,2018,164,0.0
SOL,2019,164,0.0
TIMÓN,2016,2,0.0
TIMÓN,2018,17,750.0
TIMÓN,2019,18,5.88
TRAFALGAR,2016,88,0.0
TRAFALGAR,2018,104,18.18
TRAFALGAR,2019,108,3.85
UNIVERSIDAD,2016,84,0.0
UNIVERSIDAD,2018,86,2.38
UNIVERSIDAD,2019,90,4.65
VALDEACEDERAS,2016,3,0.0
VALDEACEDERAS,2018,16,433.33
VALDEACEDERAS,2019,16,0.0
VALDEBERNARDO,2018,22,0.0
VALDEBERNARDO,2019,20,-9.09
VALDEFUENTES,2016,1,0.0
VALDEFUENTES,2018,31,3000.0
VALDEFUENTES,2019,33,6.45
VALDEMARÍN,2016,2,0.0
VALDEMARÍN,2018,1,-50.0
VALDEMARÍN,2019,2,100.0
VALDERRIVAS,2018,8,0.0
VALDERRIVAS,2019,8,0.0
VALDEZARZA,2016,6,0.0
VALDEZARZA,2018,14,133.33
VALDEZARZA,2019,14,0.0
VALLEHERMOSO,2016,63,0.0
VALLEHERMOSO,2018,68,7.94
VALLEHERMOSO,2019,72,5.88
VALVERDE,2016,66,0.0
VALVERDE,2018,82,24.24
VALVERDE,2019,83,1.22
VENTAS,2016,41,0.0
VENTAS,2018,52,26.83
VENTAS,2019,54,3.85
VINATEROS,2016,21,0.0
VINATEROS,2018,19,-9.52
VINATEROS,2019,19,0.0
VISTA ALEGRE,2016,18,0.0
VISTA ALEGRE,2018,64,255.56
VISTA ALEGRE,2019,66,3.12
ZOFÍO,2016,6,0.0
ZOFÍO,2018,8,33.33
ZOFÍO,2019,8,0.0
