BARRIOS,ANIO,NRO_MEDIA_PERSONAS,PORCENTAJE_EVOLUCION
ABRANTES,2016,2.7,0.0
ABRANTES,2018,2.73,1.11
ABRANTES,2019,2.79,2.2
ACACIAS,2016,2.4,0.0
ADELFAS,2016,2.44,0.0
ADELFAS,2018,2.42,-0.82
ADELFAS,2019,2.43,0.41
AEROPUERTO,2016,2.6,0.0
AEROPUERTO,2018,2.66,2.31
AEROPUERTO,2019,2.69,1.13
ALAMEDA DE OSUNA,2016,2.73,0.0
ALAMEDA DE OSUNA,2018,2.71,-0.73
ALAMEDA DE OSUNA,2019,2.69,-0.74
ALMAGRO,2016,2.48,0.0
ALMAGRO,2018,2.46,-0.81
ALMAGRO,2019,2.45,-0.41
ALMENARA,2016,2.43,0.0
ALMENARA,2018,2.41,-0.82
ALMENARA,2019,2.43,0.83
ALMENDRALES,2016,2.74,0.0
ALMENDRALES,2018,2.75,0.36
ALMENDRALES,2019,2.8,1.82
ALUCHE,2016,2.5,0.0
ALUCHE,2018,2.49,-0.4
ALUCHE,2019,2.49,0.0
AMPOSTA,2016,2.49,0.0
AMPOSTA,2018,2.5,0.4
AMPOSTA,2019,2.55,2.0
APÓSTOL SANTIAGO,2016,2.66,0.0
APÓSTOL SANTIAGO,2018,2.65,-0.38
APÓSTOL SANTIAGO,2019,2.66,0.38
ARAPILES,2016,2.2,0.0
ARAPILES,2018,2.19,-0.45
ARAPILES,2019,2.18,-0.46
ARAVACA,2016,3.14,0.0
ARAVACA,2018,3.13,-0.32
ARAVACA,2019,3.15,0.64
ARCOS,2016,2.66,0.0
ARCOS,2018,2.67,0.38
ARCOS,2019,2.7,1.12
ARGÜELLES,2016,2.33,0.0
ARGÜELLES,2018,2.31,-0.86
ARGÜELLES,2019,2.32,0.43
ATALAYA,2016,2.73,0.0
ATALAYA,2018,2.81,2.93
ATALAYA,2019,2.78,-1.07
ATOCHA,2016,2.66,0.0
ATOCHA,2018,2.77,4.14
ATOCHA,2019,2.77,0.0
BELLAS VISTAS,2016,2.45,0.0
BELLAS VISTAS,2018,2.44,-0.41
BELLAS VISTAS,2019,2.46,0.82
BERRUGUETE,2016,2.43,0.0
BERRUGUETE,2018,2.43,0.0
BERRUGUETE,2019,2.44,0.41
BUENAVISTA,2016,2.71,0.0
BUENAVISTA,2018,2.73,0.74
BUENAVISTA,2019,2.74,0.37
BUTARQUE,2016,2.83,0.0
BUTARQUE,2018,2.86,1.06
BUTARQUE,2019,2.86,0.0
CAMPAMENTO,2016,2.6,0.0
CAMPAMENTO,2018,2.59,-0.38
CAMPAMENTO,2019,2.61,0.77
CANILLAS,2016,2.56,0.0
CANILLAS,2018,2.55,-0.39
CANILLAS,2019,2.53,-0.78
CANILLEJAS,2016,2.64,0.0
CANILLEJAS,2018,2.61,-1.14
CANILLEJAS,2019,2.61,0.0
CASA DE CAMPO,2016,2.34,0.0
CASA DE CAMPO,2018,2.31,-1.28
CASA DE CAMPO,2019,2.32,0.43
CASCO HISTÓRICO DE BARAJAS,2016,2.41,0.0
CASCO HISTÓRICO DE BARAJAS,2018,2.39,-0.83
CASCO HISTÓRICO DE BARAJAS,2019,2.43,1.67
CASCO HISTÓRICO DE VALLECAS,2016,2.54,0.0
CASCO HISTÓRICO DE VALLECAS,2018,2.7,6.3
CASCO HISTÓRICO DE VALLECAS,2019,2.71,0.37
CASCO HISTÓRICO DE VICÁLVARO,2016,2.84,0.0
CASCO HISTÓRICO DE VICÁLVARO,2018,2.62,-7.75
CASCO HISTÓRICO DE VICÁLVARO,2019,2.64,0.76
CASTELLANA,2016,2.47,0.0
CASTELLANA,2018,2.47,0.0
CASTELLANA,2019,2.48,0.4
CASTILLA,2016,2.57,0.0
CASTILLA,2018,2.56,-0.39
CASTILLA,2019,2.54,-0.78
CASTILLEJOS,2016,2.21,0.0
CASTILLEJOS,2018,2.2,-0.45
CASTILLEJOS,2019,2.19,-0.45
CHOPERA,2016,2.37,0.0
CIUDAD JARDÍN,2016,2.36,0.0
CIUDAD JARDÍN,2018,2.34,-0.85
CIUDAD JARDÍN,2019,2.33,-0.43
CIUDAD UNIVERSITARIA,2016,2.66,0.0
CIUDAD UNIVERSITARIA,2018,2.64,-0.75
CIUDAD UNIVERSITARIA,2019,2.65,0.38
COLINA,2016,2.49,0.0
COLINA,2018,2.49,0.0
COLINA,2019,2.49,0.0
COMILLAS,2016,2.38,0.0
COMILLAS,2018,2.35,-1.26
COMILLAS,2019,2.35,0.0
CONCEPCIÓN,2016,2.31,0.0
CORRALEJOS,2016,2.99,0.0
CORRALEJOS,2018,2.96,-1.0
CORRALEJOS,2019,2.96,0.0
CORTES,2016,1.98,0.0
CORTES,2018,1.94,-2.02
CORTES,2019,1.94,0.0
COSTILLARES,2016,2.82,0.0
COSTILLARES,2018,2.78,-1.42
COSTILLARES,2019,2.77,-0.36
CUATRO CAMINOS,2016,2.29,0.0
CUATRO CAMINOS,2018,2.3,0.44
CUATRO CAMINOS,2019,2.3,0.0
CUATRO VIENTOS,2016,2.61,0.0
CUATRO VIENTOS,2018,2.6,-0.38
CUATRO VIENTOS,2019,2.62,0.77
DELICIAS,2016,2.4,0.0
EL GOLOSO,2016,3.22,0.0
EL GOLOSO,2018,3.27,1.55
EL GOLOSO,2019,3.28,0.31
EL PARDO,2016,2.62,0.0
EL PARDO,2018,2.62,0.0
EL PARDO,2019,2.63,0.38
EL PLANTÍO,2016,3.18,0.0
EL PLANTÍO,2018,3.22,1.26
EL PLANTÍO,2019,3.28,1.86
EL VISO,2016,2.83,0.0
EL VISO,2018,2.83,0.0
EL VISO,2019,2.84,0.35
EMBAJADORES,2016,2.07,0.0
EMBAJADORES,2018,2.04,-1.45
EMBAJADORES,2019,2.05,0.49
ENSANCHE DE VALLECAS,2018,2.44,0.0
ENSANCHE DE VALLECAS,2019,2.48,1.64
ENTREVÍAS,2016,2.68,0.0
ENTREVÍAS,2018,2.69,0.37
ENTREVÍAS,2019,2.74,1.86
ESTRELLA,2016,2.71,0.0
FONTARRÓN,2016,2.45,0.0
FONTARRÓN,2018,2.47,0.82
FONTARRÓN,2019,2.5,1.21
FUENTE DEL BERRO,2016,2.28,0.0
FUENTE DEL BERRO,2018,2.26,-0.88
FUENTE DEL BERRO,2019,2.27,0.44
FUENTELAREINA,2016,2.98,0.0
FUENTELAREINA,2018,2.92,-2.01
FUENTELAREINA,2019,2.93,0.34
GAZTAMBIDE,2016,2.21,0.0
GAZTAMBIDE,2018,2.19,-0.9
GAZTAMBIDE,2019,2.18,-0.46
GOYA,2016,2.25,0.0
GOYA,2018,2.25,0.0
GOYA,2019,2.24,-0.44
GUINDALERA,2016,2.36,0.0
GUINDALERA,2018,2.36,0.0
GUINDALERA,2019,2.36,0.0
HELLÍN,2016,2.39,0.0
HELLÍN,2018,2.43,1.67
HELLÍN,2019,2.48,2.06
HISPANOAMÉRICA,2016,2.57,0.0
HISPANOAMÉRICA,2018,2.55,-0.78
HISPANOAMÉRICA,2019,2.56,0.39
HORCAJO,2016,2.99,0.0
HORCAJO,2018,2.93,-2.01
HORCAJO,2019,2.93,0.0
IBIZA,2016,2.33,0.0
IBIZA,2018,2.32,-0.43
IBIZA,2019,2.34,0.86
IMPERIAL,2016,2.39,0.0
IMPERIAL,2018,2.36,-1.26
IMPERIAL,2019,2.36,0.0
JERÓNIMOS,2016,2.53,0.0
JUSTICIA,2016,1.97,0.0
JUSTICIA,2018,1.98,0.51
JUSTICIA,2019,2.0,1.01
LA PAZ,2016,2.74,0.0
LA PAZ,2018,2.69,-1.82
LA PAZ,2019,2.69,0.0
LAS ÁGUILAS,2016,2.48,0.0
LAS ÁGUILAS,2018,2.47,-0.4
LAS ÁGUILAS,2019,2.48,0.4
LEGAZPI,2016,2.55,0.0
LEGAZPI,2018,2.57,0.78
LEGAZPI,2019,2.58,0.39
LISTA,2016,2.29,0.0
LISTA,2018,2.27,-0.87
LISTA,2019,2.27,0.0
LOS CÁRMENES,2016,2.64,0.0
LOS CÁRMENES,2018,2.64,0.0
LOS CÁRMENES,2019,2.64,0.0
LOS ROSALES,2016,2.82,0.0
LOS ROSALES,2018,2.82,0.0
LOS ROSALES,2019,2.85,1.06
LOS ÁNGELES,2016,2.57,0.0
LOS ÁNGELES,2018,2.58,0.39
LOS ÁNGELES,2019,2.59,0.39
LUCERO,2016,2.52,0.0
LUCERO,2018,2.54,0.79
LUCERO,2019,2.55,0.39
MARROQUINA,2016,2.56,0.0
MARROQUINA,2018,2.53,-1.17
MARROQUINA,2019,2.52,-0.4
MEDIA LEGUA,2016,2.52,0.0
MEDIA LEGUA,2018,2.49,-1.19
MEDIA LEGUA,2019,2.49,0.0
MIRASIERRA,2016,3.14,0.0
MIRASIERRA,2018,3.1,-1.27
MIRASIERRA,2019,3.11,0.32
MOSCARDÓ,2016,2.64,0.0
MOSCARDÓ,2018,2.66,0.76
MOSCARDÓ,2019,2.7,1.5
NIÑO JESÚS,2016,2.74,0.0
NIÑO JESÚS,2018,2.71,-1.09
NIÑO JESÚS,2019,2.72,0.37
NUEVA ESPAÑA,2016,2.67,0.0
NUEVA ESPAÑA,2018,2.67,0.0
NUEVA ESPAÑA,2019,2.67,0.0
NUMANCIA,2016,2.59,0.0
NUMANCIA,2018,2.59,0.0
NUMANCIA,2019,2.61,0.77
OPAÑEL,2016,2.47,0.0
OPAÑEL,2018,2.5,1.21
OPAÑEL,2019,2.52,0.8
ORCASITAS,2016,2.66,0.0
ORCASITAS,2018,2.68,0.75
ORCASITAS,2019,2.71,1.12
ORCASUR,2016,2.88,0.0
ORCASUR,2018,2.89,0.35
ORCASUR,2019,2.92,1.04
PACÍFICO,2016,2.33,0.0
PACÍFICO,2018,2.3,-1.29
PACÍFICO,2019,2.29,-0.43
PALACIO,2016,2.01,0.0
PALACIO,2018,2.01,0.0
PALACIO,2019,2.03,1.0
PALOMAS,2016,3.06,0.0
PALOMAS,2018,3.06,0.0
PALOMAS,2019,3.1,1.31
PALOMERAS BAJAS,2016,2.66,0.0
PALOMERAS BAJAS,2018,2.66,0.0
PALOMERAS BAJAS,2019,2.68,0.75
PALOMERAS SURESTE,2016,2.67,0.0
PALOMERAS SURESTE,2018,2.65,-0.75
PALOMERAS SURESTE,2019,2.66,0.38
PALOS DE MOGUER,2016,2.22,0.0
PALOS DE MOGUER,2018,2.2,-0.9
PALOS DE MOGUER,2019,2.19,-0.45
PAVONES,2016,2.85,0.0
PAVONES,2018,2.78,-2.46
PAVONES,2019,2.78,0.0
PEÑAGRANDE,2016,2.65,0.0
PEÑAGRANDE,2018,2.63,-0.75
PEÑAGRANDE,2019,2.62,-0.38
PILAR,2016,2.39,0.0
PINAR DEL REY,2016,2.49,0.0
PINAR DEL REY,2018,2.47,-0.8
PINAR DEL REY,2019,2.48,0.4
PIOVERA,2016,3.06,0.0
PIOVERA,2018,3.04,-0.65
PIOVERA,2019,3.06,0.66
PORTAZGO,2016,2.62,0.0
PORTAZGO,2018,2.61,-0.38
PORTAZGO,2019,2.63,0.77
PRADOLONGO,2016,2.86,0.0
PRADOLONGO,2018,2.9,1.4
PRADOLONGO,2019,2.93,1.03
PROSPERIDAD,2016,2.32,0.0
PROSPERIDAD,2018,2.31,-0.43
PROSPERIDAD,2019,2.3,-0.43
PUEBLO NUEVO,2016,2.57,0.0
PUEBLO NUEVO,2018,2.58,0.39
PUEBLO NUEVO,2019,2.6,0.78
PUERTA BONITA,2016,2.71,0.0
PUERTA BONITA,2018,2.75,1.48
PUERTA BONITA,2019,2.79,1.45
PUERTA DEL ÁNGEL,2016,2.38,0.0
PUERTA DEL ÁNGEL,2018,2.38,0.0
PUERTA DEL ÁNGEL,2019,2.39,0.42
QUINTANA,2016,2.38,0.0
QUINTANA,2018,2.37,-0.42
QUINTANA,2019,2.38,0.42
RECOLETOS,2016,2.37,0.0
RECOLETOS,2018,2.36,-0.42
RECOLETOS,2019,2.36,0.0
REJAS,2016,2.44,0.0
REJAS,2018,2.48,1.64
REJAS,2019,2.5,0.81
ROSAS,2016,2.89,0.0
ROSAS,2018,2.87,-0.69
ROSAS,2019,2.86,-0.35
RÍOS ROSAS,2016,2.27,0.0
RÍOS ROSAS,2018,2.25,-0.88
RÍOS ROSAS,2019,2.26,0.44
SALVADOR,2016,2.68,0.0
SAN CRISTÓBAL,2016,3.03,0.0
SAN CRISTÓBAL,2018,3.06,0.99
SAN CRISTÓBAL,2019,3.14,2.61
SAN DIEGO,2016,2.56,0.0
SAN DIEGO,2018,2.58,0.78
SAN DIEGO,2019,2.63,1.94
SAN FERMÍN,2016,2.84,0.0
SAN FERMÍN,2018,2.83,-0.35
SAN FERMÍN,2019,2.86,1.06
SAN ISIDRO,2016,2.56,0.0
SAN ISIDRO,2018,2.57,0.39
SAN ISIDRO,2019,2.58,0.39
SAN JUAN BAUTISTA,2016,2.59,0.0
SAN JUAN BAUTISTA,2018,2.58,-0.39
SAN JUAN BAUTISTA,2019,2.57,-0.39
SAN PASCUAL,2016,2.44,0.0
SAN PASCUAL,2018,2.41,-1.23
SAN PASCUAL,2019,2.41,0.0
SANTA EUGENIA,2016,2.77,0.0
SANTA EUGENIA,2018,2.74,-1.08
SANTA EUGENIA,2019,2.72,-0.73
SIMANCAS,2016,2.5,0.0
SIMANCAS,2018,2.54,1.6
SIMANCAS,2019,2.57,1.18
SOL,2016,1.97,0.0
SOL,2018,1.93,-2.03
SOL,2019,1.97,2.07
TIMÓN,2016,2.63,0.0
TIMÓN,2018,2.67,1.52
TIMÓN,2019,2.67,0.0
TRAFALGAR,2016,2.13,0.0
TRAFALGAR,2018,2.11,-0.94
TRAFALGAR,2019,2.11,0.0
UNIVERSIDAD,2016,1.97,0.0
UNIVERSIDAD,2018,1.96,-0.51
UNIVERSIDAD,2019,1.96,0.0
VALDEACEDERAS,2016,2.43,0.0
VALDEACEDERAS,2018,2.44,0.41
VALDEACEDERAS,2019,2.45,0.41
VALDEBERNARDO,2018,2.9,0.0
VALDEBERNARDO,2019,2.89,-0.34
VALDEFUENTES,2016,2.85,0.0
VALDEFUENTES,2018,2.88,1.05
VALDEFUENTES,2019,2.9,0.69
VALDEMARÍN,2016,3.54,0.0
VALDEMARÍN,2018,3.51,-0.85
VALDEMARÍN,2019,3.52,0.28
VALDERRIVAS,2018,2.88,0.0
VALDERRIVAS,2019,2.88,0.0
VALDEZARZA,2016,2.46,0.0
VALDEZARZA,2018,2.43,-1.22
VALDEZARZA,2019,2.43,0.0
VALLEHERMOSO,2016,2.43,0.0
VALLEHERMOSO,2018,2.41,-0.82
VALLEHERMOSO,2019,2.41,0.0
VALVERDE,2016,2.71,0.0
VALVERDE,2018,2.75,1.48
VALVERDE,2019,2.77,0.73
VENTAS,2016,2.41,0.0
VENTAS,2018,2.42,0.41
VENTAS,2019,2.42,0.0
VINATEROS,2016,2.35,0.0
VINATEROS,2018,2.33,-0.85
VINATEROS,2019,2.34,0.43
VISTA ALEGRE,2016,2.61,0.0
VISTA ALEGRE,2018,2.63,0.77
VISTA ALEGRE,2019,2.66,1.14
ZOFÍO,2016,2.72,0.0
ZOFÍO,2018,2.76,1.47
ZOFÍO,2019,2.8,1.45
